season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,12360,2,1.0,1749,1738,182,418,68,6,9,147,67,25,127,412,2,0,0.0,27,45,12,36.0,0,0.0,11.124638276038995,1922,0.241,-0.143,0.298,0.35,0.648,53.0,0.049,0.308,175.724,160.77,179.68,15.9,0.307,0.005,0.214,0.066,0.148,0.308
2016,12360,6,1.0,1710,1859,293,480,88,17,32,265,47,23,208,432,1,81,0.0,45,32,15,47.0,0,0.0,48.20661417322834,2114,0.258,-0.09,0.347,0.449,0.796,92.0,0.075,0.318,290.914,274.658,293.396,38.1,0.372,0.015,0.204,0.098,0.106,0.481
2016,12360,7,1.0,1815,1837,464,562,108,13,63,418,81,22,228,368,2,92,0.0,110,25,32,41.0,0,0.0,70.58684587813622,2122,0.306,-0.1,0.424,0.582,1.006,145.0,0.08,0.347,435.546,412.25,430.9,70.9,0.479,0.03,0.173,0.107,0.066,0.62
2016,12360,8,1.0,2088,1925,256,480,91,6,30,232,43,16,205,446,7,0,0.0,52,32,6,40.0,0,0.0,21.129333333333335,2168,0.249,-0.129,0.34,0.416,0.756,80.0,0.057,0.309,249.272,233.13,246.78,35.3,0.32,0.014,0.206,0.095,0.111,0.46
2016,12360,9,1.0,1595,1743,238,412,60,11,16,215,59,28,224,387,1,14,0.0,52,53,13,31.0,0,0.0,27.095923261390887,2033,0.236,-0.082,0.338,0.361,0.699,61.0,0.053,0.293,192.414,176.682,197.924,25.2,0.33,0.008,0.19,0.11,0.08,0.579
2016,12360,14,1.0,1696,1672,266,442,77,11,11,234,60,24,223,358,3,0,0.0,43,21,21,35.0,0,0.0,23.648969696969697,1937,0.264,-0.109,0.366,0.403,0.769,79.0,0.066,0.326,218.276,200.49,218.74,18.6,0.366,0.006,0.185,0.115,0.07,0.623
2016,12360,17,1.0,1560,1741,260,482,84,14,31,240,35,17,166,427,3,76,0.0,40,24,15,31.0,0,0.0,43.52963746223565,1946,0.277,-0.128,0.354,0.469,0.823,99.0,0.072,0.347,292.534,276.438,290.996,32.9,0.349,0.016,0.219,0.085,0.134,0.389
2016,12360,27,1.0,1674,1786,231,415,76,10,33,205,23,9,188,449,2,0,0.0,53,32,13,27.0,0,0.0,19.420820463320464,2019,0.232,-0.119,0.325,0.408,0.733,75.0,0.059,0.29,219.708,204.532,213.564,27.1,0.318,0.016,0.222,0.093,0.129,0.419
2016,12360,28,1.0,1947,2022,298,530,111,19,35,271,43,23,205,436,8,0,0.0,33,25,24,48.0,0,0.0,19.315218709398007,2276,0.262,-0.151,0.337,0.469,0.806,97.0,0.083,0.314,303.512,280.134,298.168,38.6,0.359,0.015,0.192,0.09,0.102,0.47
2016,12360,29,1.0,2336,2443,424,702,131,30,26,369,77,31,323,485,9,0,0.0,50,82,34,48.0,0,0.0,33.732783083219644,2882,0.287,-0.136,0.373,0.474,0.847,103.0,0.09,0.344,395.5,363.782,387.604,38.9,0.379,0.009,0.168,0.112,0.056,0.666
2016,12360,30,1.0,1856,1944,336,517,93,22,33,303,48,8,220,423,5,4,0.0,98,65,20,35.0,0,0.0,30.11436727737538,2249,0.266,-0.13,0.371,0.463,0.834,99.0,0.082,0.321,317.756,295.754,304.748,39.1,0.378,0.015,0.188,0.098,0.09,0.52
2016,12360,31,1.0,1870,1870,324,515,90,13,49,289,39,14,222,413,6,0,0.0,39,26,24,43.0,0,0.0,23.18518110958276,2142,0.275,-0.143,0.362,0.497,0.859,110.0,0.069,0.325,310.386,289.0,301.06,43.4,0.378,0.023,0.193,0.104,0.089,0.538
2016,12360,32,1.0,1728,1855,365,561,110,6,37,333,43,20,227,362,7,0,0.0,39,56,24,44.0,0,0.0,24.719373012267152,2162,0.302,-0.168,0.383,0.511,0.894,117.0,0.069,0.354,329.714,306.618,322.396,39.8,0.415,0.017,0.167,0.105,0.062,0.627
2016,12360,37,1.0,1848,1975,346,581,102,14,37,310,61,27,241,416,4,0,0.0,62,10,21,47.0,0,0.0,28.874413165872674,2247,0.294,-0.155,0.393,0.494,0.887,112.0,0.073,0.353,336.942,317.968,338.656,46.1,0.365,0.016,0.185,0.107,0.078,0.579
2016,12360,43,1.0,1881,2020,443,622,135,19,65,407,56,19,296,477,11,0,0.0,43,34,31,34.0,0,0.0,33.16694719471947,2381,0.308,-0.143,0.404,0.599,1.003,149.0,0.095,0.369,429.864,402.746,418.132,60.2,0.422,0.027,0.2,0.124,0.076,0.621
2016,12360,47,1.0,1798,1979,378,569,123,21,49,334,60,35,290,390,4,0,0.0,63,30,36,49.0,0,0.0,33.591284403669725,2335,0.288,-0.128,0.395,0.543,0.938,129.0,0.094,0.33,373.34,347.67,373.52,53.9,0.377,0.021,0.167,0.124,0.043,0.744
2016,12360,48,1.0,1802,1798,231,489,66,12,16,202,35,13,173,315,4,0,0.0,36,32,16,49.0,0,0.0,17.78766909975669,2019,0.272,-0.164,0.346,0.401,0.747,76.0,0.057,0.319,231.15,213.278,224.576,22.0,0.315,0.008,0.156,0.086,0.07,0.549
2016,12360,51,1.0,1643,1801,272,494,92,14,34,242,14,11,165,375,4,0,0.0,46,44,19,46.0,0,0.0,18.01981686746988,2029,0.274,-0.181,0.347,0.475,0.822,100.0,0.074,0.326,281.92,262.854,272.968,19.8,0.355,0.017,0.185,0.081,0.104,0.44
2016,12360,61,1.0,1848,1873,313,528,63,8,45,279,52,12,211,352,6,0,0.0,69,18,19,59.0,0,0.0,25.91475799086758,2121,0.282,-0.148,0.381,0.458,0.839,99.0,0.046,0.323,298.884,278.96,290.02,48.2,0.351,0.021,0.166,0.099,0.067,0.599
2016,12360,62,1.0,1705,1841,340,537,99,13,37,306,57,25,201,354,0,0,0.0,52,32,27,41.0,0,0.0,23.400845332094754,2101,0.292,-0.165,0.376,0.501,0.877,113.0,0.075,0.339,317.598,298.208,317.336,44.9,0.402,0.018,0.168,0.096,0.072,0.568
2016,12360,67,1.0,1938,1910,282,504,95,7,20,246,73,25,240,425,4,0,0.0,41,38,13,42.0,0,0.0,24.442319357716325,2201,0.264,-0.113,0.357,0.416,0.773,82.0,0.061,0.327,254.31,237.362,256.584,31.4,0.342,0.009,0.193,0.109,0.084,0.565
2016,12360,71,1.0,1836,1762,176,404,55,3,13,152,36,22,185,392,0,0,0.0,25,40,9,34.0,0,0.0,16.01553686293914,1996,0.229,-0.116,0.308,0.326,0.634,46.0,0.036,0.286,150.954,138.046,155.092,19.1,0.271,0.007,0.196,0.093,0.103,0.472
2016,12360,72,1.0,1650,1699,278,481,116,17,27,251,41,17,189,411,6,0,0.0,60,57,19,31.0,0,0.0,22.286650197628454,1964,0.283,-0.158,0.372,0.513,0.885,116.0,0.098,0.355,302.862,282.956,296.872,32.6,0.357,0.014,0.209,0.096,0.113,0.46
2016,12360,77,1.0,1782,1953,435,634,117,18,50,402,43,16,237,295,8,0,0.0,47,10,37,51.0,0,0.0,28.360035026269706,2237,0.325,-0.189,0.41,0.575,0.985,141.0,0.088,0.355,408.3,380.828,394.176,46.2,0.444,0.022,0.132,0.106,0.026,0.803
2016,12360,80,1.0,1092,1235,163,320,71,4,22,156,12,12,107,245,1,0,0.0,35,20,4,24.0,0,0.0,11.788522483940044,1366,0.259,-0.172,0.338,0.455,0.793,93.0,0.067,0.307,175.74,167.16,177.02,15.5,0.32,0.016,0.179,0.078,0.101,0.437
2016,12360,81,1.0,2065,1990,465,633,129,13,57,430,62,23,280,291,6,0,0.0,73,32,41,51.0,0,0.0,35.99009105960265,2343,0.318,-0.158,0.421,0.582,1.003,145.0,0.084,0.342,429.132,399.884,418.048,59.4,0.439,0.024,0.124,0.12,0.004,0.962
